ADES,MOF,REF_YEAR,N,N_VALID,SUM_TRAVEL,SUM_REF,CHECK_ADD,SUM_ADD_TIME,OK,AVG_ADD_TIME
SBGR,2019-01,2019,5860,5860,111670.06666666661,79249.25208333594,32420.81458333318,32420.814583330663,TRUE,5.532562215585437
SBGR,2019-02,2019,5343,5343,100152.88333333292,72639.43625000189,27513.447083333358,27513.447083331033,TRUE,5.14943797180068
SBGR,2019-03,2019,5827,5827,109081.88333333327,78919.39041666948,30162.492916666706,30162.49291666379,TRUE,5.176333090211736
SBGR,2019-04,2019,5191,5191,95271.3333333336,70438.78083333593,24832.552499999965,24832.552499997677,TRUE,4.783770468117448
SBGR,2019-05,2019,4174,4174,73509.33333333358,57035.191666668245,16474.141666666692,16474.14166666533,TRUE,3.9468475483146457
SBGR,2019-06,2019,4125,4125,72244.89999999988,56293.44041666848,15951.459583333299,15951.459583331394,TRUE,3.867020505050035
SBGR,2019-07,2019,5718,5718,102118.25000000003,78129.11541666985,23989.13458333324,23989.134583330175,TRUE,4.195371560568411
SBGR,2019-08,2019,5975,5975,107218.14999999967,81756.97541666985,25461.174583333337,25461.17458332982,TRUE,4.261284449092857
SBGR,2019-09,2019,5906,5906,108262.85000000017,80508.70166667018,27754.14833333342,27754.148333329984,TRUE,4.6993139744886525
SBGR,2019-10,2019,5760,5760,102488.43333333348,78546.43666666927,23941.996666666673,23941.996666664214,TRUE,4.1565966435180925
SBGR,2019-11,2019,6001,6001,110078.96666666673,81527.5337500027,28551.432916666618,28551.43291666404,TRUE,4.757779189579076
SBGR,2019-12,2019,6743,6743,124822.88333333372,91135.07458333636,33687.80875000005,33687.80874999736,TRUE,4.99596748479866
