AIRPORT,DATE,FLTS,TOT_A100,TOT_REF,TOT_ADD,AVG_ADD,REF_YEAR
SBGR,2021-02,6,148.38333333333333,134.64,13.74333333333334,2.2905555555555566,2023
SBGR,2021-03,3995,97853.93333333333,88124.1175,9729.815833333341,2.4354983312473943,2023
SBGR,2021-04,4012,98359.15,88456.54083333333,9902.609166666662,2.4682475490196065,2023
SBGR,2021-05,5852,146466.96666666667,129500.48625,16966.480416666673,2.8992618620414685,2023
SBGR,2021-06,6333,163823,139973.575,23849.42499999999,3.765896889309962,2023
SBGR,2021-07,7644,199987.7,169000.33208333334,30987.36791666667,4.053815792342578,2023
SBGR,2021-08,7790,202855.33333333334,172129.57791666666,30725.75541666668,3.9442561510483545,2023
SBGR,2021-09,8235,213996.85,182139.21916666665,31857.630833333358,3.8685647642177727,2023
SBGR,2021-10,8157,212888.45,180361.49041666667,32526.959583333344,3.987613041968045,2023
SBGR,2021-11,9608,259212.36666666667,212847.44083333333,46364.92583333334,4.825658392311963,2023
SBGR,2021-12,9714,260262.33333333334,214597.64291666666,45664.69041666668,4.700915216869125,2023
SBGR,2022-01,8080,210324.71666666667,179062.36583333334,31262.35083333333,3.8691028259075906,2023
SBGR,2022-02,7463,191006.25,164779.28666666665,26226.963333333348,3.5142654875161927,2023
SBGR,2022-03,9107,232054.15,201283.74583333332,30770.404166666674,3.378764045971964,2023
SBGR,2022-04,7373,183739.05,162514.27333333332,21224.776666666672,2.8787164880871656,2023
SBGR,2022-05,8929,227005.95,197652.62666666665,29353.323333333363,3.2874144174412994,2023
SBGR,2022-06,8262,213990.01666666666,182176.74791666667,31813.26874999999,3.8505529835390933,2023
SBGR,2022-07,10660,279603.75,234713.68458333332,44890.06541666668,4.211075555034397,2023
SBGR,2022-08,10412,276664.68333333335,229749.63791666666,46915.04541666669,4.505862986618007,2023
SBGR,2022-09,10002,268032.73333333334,220849.16666666666,47183.56666666668,4.717413184029862,2023
SBGR,2022-10,10454,277460.2,231013.78166666665,46446.418333333364,4.44293268924176,2023
SBGR,2022-11,8906,236722.61666666667,196206.45249999998,40516.164166666684,4.549311044988399,2023
SBGR,2022-12,10890,289194.56666666665,240058.06041666665,49136.506250000006,4.512075872359964,2023
SBGR,2023-01,11218,295922.93333333335,248295.68083333332,47627.25250000003,4.245609957211627,2023
SBGR,2023-02,9076,240217.58333333334,202098.18541666665,38119.3979166667,4.200021806596155,2023
SBGR,2023-03,9807,260058.8,216303.3775,43755.422499999986,4.4616521362292225,2023
SBGR,2023-04,9686,268365.98333333334,214344.89416666667,54021.08916666667,5.5772340663500595,2023
SBGR,2023-05,10772,297246.43333333335,237465.8925,59780.54083333336,5.549623174278998,2023
SBGR,2023-06,10230,286936.11666666664,226763.71541666664,60172.401249999995,5.881955156402737,2023
SBGR,2023-07,11788,325572.68333333335,260412.11375,65160.56958333336,5.527703561531503,2023
SBGR,2023-08,11383,316487.2,251366.46166666667,65120.73833333334,5.720876599607602,2023
SBGR,2023-09,10608,290318.38333333336,234570.50083333332,55747.882500000036,5.2552679581448,2023
SBGR,2023-10,11190,309423.3,247749.5783333333,61673.72166666668,5.511503276735182,2023
SBGR,2023-11,10569,287928.68333333335,233769.76208333333,54158.921250000014,5.124318407607154,2023
SBGR,2023-12,11609,311625.8,256445.65583333332,55180.144166666665,4.753221135900307,2023
SBGR,2024-01,11127,301759.23333333334,245944.4225,55814.81083333335,5.016159866391062,2023
SBGR,2024-02,9852,259919.96666666667,216999.46125,42920.50541666668,4.356527143388822,2023
SBGR,2024-03,10588,278049.01666666666,233381.33,44667.686666666676,4.2187086009318735,2023
SBGR,2024-04,9619,252071.56666666668,211445.62833333333,40625.93833333335,4.223509547076968,2023
SBGR,2024-05,10509,272573.15,231896.31625,40676.83375000002,3.8706664525644703,2023
SBGR,2024-06,9919,261401.21666666667,218384.13791666666,43017.078750000015,4.336836248613773,2023
SBGR,2024-07,11041,288258.9166666667,242864.00083333332,45394.91583333336,4.111485901035537,2023
SBGR,2024-08,10682,281884.1666666667,234306.26458333334,47577.90208333335,4.4540256584285105,2023
SBGR,2024-09,10697,281581.0833333333,235773.22,45807.86333333331,4.282309370228411,2023
SBGR,2024-10,11062,295853.0333333333,243947.04083333333,51905.99249999999,4.692279199059844,2023
SBGR,2024-11,10566,284115.98333333334,233227.59958333333,50888.38375000001,4.816239234336552,2023
SBGR,2024-12,8253,221610,182069.78916666665,39540.210833333345,4.791010642594614,2023
SBSP,2021-02,5,117.96666666666667,119.43333333333332,-1.4666666666666544,-0.2933333333333309,2023
SBSP,2021-03,2124,53867.583333333336,51825.08375,2042.4995833333378,0.9616288057124942,2023
SBSP,2021-04,2140,54267.46666666667,51764.261249999996,2503.205416666671,1.1697221573208745,2023
SBSP,2021-05,3261,86314.03333333334,80780.68625,5533.347083333341,1.696825232546256,2023
SBSP,2021-06,3592,96255.73333333334,87620.39416666667,8635.339166666672,2.4040476521900533,2023
SBSP,2021-07,4418,121390.76666666666,108763.34166666666,12627.425000000003,2.8581767768220923,2023
SBSP,2021-08,4726,128234.21666666666,115374.70624999999,12859.510416666672,2.7210136302722536,2023
SBSP,2021-09,5333,144463.03333333333,128973.15416666666,15489.879166666666,2.9045338771173195,2023
SBSP,2021-10,5221,144760.83333333334,125570.82291666666,19190.010416666686,3.6755430792313133,2023
SBSP,2021-11,6119,168177.51666666666,147543.69958333333,20633.817083333328,3.3720897341613543,2023
SBSP,2021-12,6531,181636.51666666666,157832.53041666665,23803.986250000016,3.6447689863726866,2023
SBSP,2022-01,5365,148245.41666666666,130928.38833333332,17317.028333333335,3.227777881329606,2023
SBSP,2022-02,4912,131470.13333333333,118786.84791666667,12683.285416666666,2.5821020799402823,2023
SBSP,2022-03,6285,175338.96666666667,154626.69083333333,20712.275833333348,3.2955092813577322,2023
SBSP,2022-04,6085,169329.25,147406.40791666665,21922.84208333335,3.6027678033415533,2023
SBSP,2022-05,7953,232032.21666666667,195753.50666666665,36278.71000000002,4.561638375455805,2023
SBSP,2022-06,6634,186266.73333333334,161784.02083333334,24482.712499999994,3.6904902773590584,2023
