AIRPORT,YEAR,AVG_ADD_ASMA,N_VALID,REGION
SBBR,2021,4.127201600882295,38687,BRA
SBBR,2022,3.6604308528103653,55835,BRA
SBBR,2023,3.478601874180311,63032,BRA
SBBR,2024,3.471844796160664,59802,BRA
SBCF,2021,3.144672371230317,24980,BRA
SBCF,2022,3.6254895534787113,40125,BRA
SBCF,2023,3.3841205813232964,44112,BRA
SBCF,2024,3.5143897637795267,46990,BRA
SBCT,2021,4.487527881619941,13375,BRA
SBCT,2022,4.794812646486317,25173,BRA
SBCT,2023,3.805545906037887,28139,BRA
SBCT,2024,3.360954820979096,25956,BRA
SBGL,2021,2.6345841491270994,14301,BRA
SBGL,2022,2.524794423661444,21385,BRA
SBGL,2023,2.352390277431384,28067,BRA
SBGL,2024,2.252702925853566,46579,BRA
SBGR,2021,3.904765561489082,71346,BRA
SBGR,2022,4.032449052211307,110538,BRA
SBGR,2023,5.162878952497083,127936,BRA
SBGR,2024,4.429149998654993,123915,BRA
SBKP,2021,3.4149964047346875,27119,BRA
SBKP,2022,4.462170699782914,39155,BRA
SBKP,2023,3.6795645481776487,39171,BRA
SBKP,2024,3.1008195472303015,34727,BRA
SBPA,2021,3.2395264765784098,982,BRA
SBPA,2022,3.0887481048299747,1539,BRA
SBPA,2023,2.840268345042933,1708,BRA
SBPA,2024,2.6123036093418226,628,BRA
SBRJ,2021,3.5053680106204532,26427,BRA
SBRJ,2022,4.370955259235059,48971,BRA
SBRJ,2023,4.411683757049504,55855,BRA
SBRJ,2024,2.6529606986293777,30035,BRA
SBSP,2021,2.8368427171996027,43470,BRA
SBSP,2022,4.708957524411145,84217,BRA
SBSP,2023,6.270041157864717,102856,BRA
SBSP,2024,5.706170178451599,96366,BRA
SBSV,2021,3.5668276866940754,20189,BRA
SBSV,2022,3.699740790457419,29426,BRA
SBSV,2023,3.021399892590338,31189,BRA
SBSV,2024,3.1425929522291938,30123,BRA
