ICAO,YEAR,N,PLI,BLI
SBBR,2019,8432,0,0.6197817836812144
SBBR,2020,7876,0,0.26244286439817166
SBBR,2021,8251,0,0.3535329051024118
SBBR,2022,8348,0,0.44525634882606613
SBBR,2023,16890,0,0.5132030787448194
SBBR,2024,8468,0,0.5440481813887577
SBCF,2019,8166,4.898359049718344e-4,0.7937790840068577
SBCF,2020,6968,0,0.36552812858783007
SBCF,2021,8117,0,0.5481089072317359
SBCF,2022,8184,0,0.7454789833822092
SBCF,2023,16380,0,0.7902319902319902
SBCF,2024,8339,2.398369109005876e-4,0.8174841108046529
SBCT,2019,8021,0,0.7380625857125047
SBCT,2020,6606,0,0.2358462004238571
SBCT,2021,7485,0,0.24595858383433533
SBCT,2022,7615,0,0.5889691398555482
SBCT,2023,15188,0,0.6515670265999474
SBCT,2024,7434,0,0.6937046004842615
SBGL,2019,8668,0,0.5824873096446701
SBGL,2020,7432,0,0.16321313240043056
SBGL,2021,8321,0,0.04759043384208629
SBGL,2022,8622,0,0.046392948271862675
SBGL,2023,17182,0,0.12652776161098825
SBGL,2024,8682,0,0.6281962681409814
SBGR,2019,8759,0.16748487270236329,0.919168854892111
SBGR,2020,8664,0.05378578024007387,0.5678670360110804
SBGR,2021,8747,0.018634960557905568,0.7802675202926718
SBGR,2022,8754,0.04192369202650217,0.905643134567055
SBGR,2023,17518,0.055371617764585,0.9310423564333828
SBGR,2024,8782,0.09576406285584149,0.9256433614210886
SBKP,2019,8112,0.005424063116370809,0.8430719921104537
SBKP,2020,7793,1.2832028743744385e-4,0.5524188374181959
SBKP,2021,8112,4.930966469428008e-4,0.7250986193293886
SBKP,2022,7994,0.0066299724793595196,0.8193645233925444
SBKP,2023,15868,0.0017645576002016637,0.8418200151247794
SBKP,2024,8014,7.486897928624906e-4,0.8440229598203145
SBPA,2019,7678,1.3024225058609013e-4,0.8334201615003908
SBPA,2020,6449,0,0.3628469530159715
SBPA,2021,7455,0,0.37464788732394366
SBPA,2022,7765,0,0.6056664520283322
SBPA,2023,15672,0,0.680066360387953
SBPA,2024,3884,0,0.6099382080329557
SBRJ,2019,6150,0.09008130081300814,0.9247154471544715
SBRJ,2020,5941,0.043427032486113445,0.6211075576502272
SBRJ,2021,6206,0.008862391234289398,0.9139542378343538
SBRJ,2022,6223,0.16905029728426804,0.9865016872890888
SBRJ,2023,12444,0.3048858887817422,0.9805528768884603
SBRJ,2024,6209,0.0012884522467386053,0.9291351264293767
SBSP,2019,6367,0.7029998429401602,0.9564944243756871
SBSP,2020,6442,0.15212666873641725,0.5922073890096243
SBSP,2021,6560,0.07835365853658537,0.8725609756097561
SBSP,2022,6403,0.49976573481180697,0.9584569732937686
SBSP,2023,12864,0.7040578358208955,0.9553793532338308
SBSP,2024,6505,0.6799385088393544,0.9471176018447348
SBSV,2019,8713,0.0012624813497073338,0.6594743486743946
SBSV,2020,7856,5.091649694501018e-4,0.3455957230142566
SBSV,2021,8576,0.0025652985074626866,0.4418143656716418
SBSV,2022,8604,0.0017433751743375174,0.5319618781961878
SBSV,2023,17362,9.215528164957954e-4,0.5160695772376455
SBSV,2024,8738,3.433279926756695e-4,0.5612268253604944
