APT,PHASE,DATE,MVTS,ADD_TIME,AVG_ADD_TIME
SBRJ,TXOT,2019-04-30,126,602.92,4.785079365079365
SBGR,TXOT,2019-04-30,301,1189.97,3.953388704318937
SBBR,TXOT,2019-04-30,169,622.82,3.6853254437869825
SBSP,TXOT,2019-05-01,177,345.02,1.9492655367231637
SBPA,TXOT,2019-04-30,84,411.09000000000003,4.893928571428572
SBCT,TXOT,2019-04-30,83,395.68,4.767228915662651
SBGL,TXOT,2019-04-30,82,616.3,7.515853658536585
SBRJ,TXOT,2019-05-01,99,417.33,4.215454545454545
SBCF,TXOT,2019-05-01,92,304.65,3.3114130434782605
SBGR,TXOT,2019-05-01,272,1067.04,3.922941176470588
SBBR,TXOT,2019-05-01,149,430.51,2.8893288590604027
SBPA,TXOT,2019-05-01,62,233.34,3.7635483870967743
SBCT,TXOT,2019-05-01,64,228.08,3.56375
SBGL,TXOT,2019-05-01,89,719.85,8.088202247191012
SBKP,TXOT,2019-05-01,124,888.87,7.168306451612903
SBSV,TXOT,2019-05-01,49,218.87,4.466734693877551
SBPA,TXOT,2019-05-02,82,558.41,6.8098780487804875
SBGR,TXOT,2019-05-02,303,1035.29,3.416798679867987
SBCF,TXOT,2019-05-02,125,594.81,4.75848
SBRJ,TXOT,2019-05-02,118,647.93,5.49093220338983
SBSV,TXOT,2019-05-02,53,257.66,4.861509433962264
SBBR,TXOT,2019-05-02,155,688.62,4.442709677419355
SBSP,TXOT,2019-05-02,253,1702.15,6.7278656126482215
SBGL,TXOT,2019-05-02,89,514.63,5.7823595505617975
SBCT,TXOT,2019-05-02,78,314.35,4.0301282051282055
SBKP,TXOT,2019-05-02,149,750.35,5.035906040268457
SBSP,TXOT,2019-05-03,256,1227.19,4.7937109375
SBGR,TXOT,2019-05-03,314,961.72,3.062802547770701
SBBR,TXOT,2019-05-03,172,695.75,4.045058139534884
SBGL,TXOT,2019-05-03,86,701.87,8.161279069767442
SBKP,TXOT,2019-05-03,160,920.99,5.7561875
SBRJ,TXOT,2019-05-03,137,838.32,6.119124087591241
SBCF,TXOT,2019-05-03,134,592.33,4.420373134328359
SBCT,TXOT,2019-05-03,74,335.75,4.537162162162162
SBPA,TXOT,2019-05-03,84,366.28000000000003,4.360476190476191
SBSV,TXOT,2019-05-03,55,199.32,3.6239999999999997
SBCF,TXOT,2019-05-04,102,345.36,3.385882352941177
SBGR,TXOT,2019-05-04,287,852.6899999999999,2.9710452961672473
SBKP,TXOT,2019-05-04,130,763.59,5.873769230769231
SBRJ,TXOT,2019-05-04,84,382.31,4.551309523809524
SBPA,TXOT,2019-05-04,64,307.11,4.79859375
SBSP,TXOT,2019-05-04,182,499.48,2.7443956043956046
SBBR,TXOT,2019-05-04,119,364.21,3.0605882352941176
SBGL,TXOT,2019-05-04,105,1143.02,10.885904761904762
SBSV,TXOT,2019-05-04,49,254.31,5.19
SBCT,TXOT,2019-05-04,62,243.76,3.9316129032258065
SBKP,TXOT,2019-05-05,142,863.56,6.081408450704225
SBGL,TXOT,2019-05-05,91,484.26,5.321538461538461
SBGR,TXOT,2019-05-05,273,1011.9,3.7065934065934063
SBBR,TXOT,2019-05-05,115,307.04,2.669913043478261
SBCF,TXOT,2019-05-05,126,492.26,3.9068253968253965
SBRJ,TXOT,2019-05-05,99,431.62,4.35979797979798
SBSP,TXOT,2019-05-05,187,902.21,4.824652406417113
SBSV,TXOT,2019-05-05,54,254.02,4.704074074074074
SBCT,TXOT,2019-05-05,69,308.69,4.473768115942029
SBPA,TXOT,2019-05-05,70,337.46999999999997,4.821
SBPA,TXOT,2019-05-06,95,466.67,4.912315789473684
SBKP,TXOT,2019-05-06,163,920.04,5.64441717791411
SBRJ,TXOT,2019-05-06,143,720.64,5.03944055944056
SBBR,TXOT,2019-05-06,175,664.94,3.7996571428571433
SBCF,TXOT,2019-05-06,137,605.1,4.416788321167884
SBSP,TXOT,2019-05-06,258,1694.54,6.567984496124031
SBGR,TXOT,2019-05-06,322,1377.11,4.276739130434782
SBSV,TXOT,2019-05-06,55,206.03,3.746
SBCT,TXOT,2019-05-06,83,312.66,3.7669879518072293
SBGL,TXOT,2019-05-06,99,1003.29,10.134242424242425
SBSP,TXOT,2019-05-07,251,1114.61,4.440677290836653
SBPA,TXOT,2019-05-07,88,381.81,4.33875
SBCT,TXOT,2019-05-07,79,348.55,4.412025316455696
SBGR,TXOT,2019-05-07,315,1942.96,6.168126984126984
SBGL,TXOT,2019-05-07,94,774.18,8.23595744680851
SBCF,TXOT,2019-05-07,132,605.23,4.5850757575757575
SBBR,TXOT,2019-05-07,166,649.36,3.911807228915663
SBKP,TXOT,2019-05-07,158,901.42,5.705189873417721
SBRJ,TXOT,2019-05-07,123,823.33,6.6937398373983745
SBSV,TXOT,2019-05-07,55,205.52,3.736727272727273
SBSP,TXOT,2019-05-08,257,1184.6,4.609338521400778
SBRJ,TXOT,2019-05-08,135,551.23,4.083185185185186
SBGR,TXOT,2019-05-08,310,1289.49,4.159645161290323
SBBR,TXOT,2019-05-08,159,617.01,3.880566037735849
SBGL,TXOT,2019-05-08,96,1052.04,10.95875
SBCF,TXOT,2019-05-08,130,549.53,4.227153846153846
SBPA,TXOT,2019-05-08,89,496.44,5.577977528089888
SBCT,TXOT,2019-05-08,83,297.48,3.584096385542169
SBKP,TXOT,2019-05-08,162,942.47,5.8177160493827165
SBSV,TXOT,2019-05-08,59,259.98,4.406440677966102
SBKP,TXOT,2019-05-09,161,971.77,6.03583850931677
SBPA,TXOT,2019-05-09,88,349.58,3.9724999999999997
SBCT,TXOT,2019-05-09,79,319.21,4.040632911392405
SBRJ,TXOT,2019-05-09,130,767.47,5.903615384615385
SBGR,TXOT,2019-05-09,317,1296.72,4.090599369085173
SBCF,TXOT,2019-05-09,137,462.69,3.3772992700729927
SBSP,TXOT,2019-05-09,261,1228.04,4.705134099616858
SBBR,TXOT,2019-05-09,166,699.91,4.216325301204819
SBGL,TXOT,2019-05-09,102,944.97,9.264411764705883
SBSV,TXOT,2019-05-09,55,211.75,3.85
SBSP,TXOT,2019-05-10,260,1456.46,5.601769230769231
SBGL,TXOT,2019-05-10,97,1036.13,10.681752577319589
SBRJ,TXOT,2019-05-10,144,851.7,5.914583333333334
SBGR,TXOT,2019-05-10,328,1360.77,4.148689024390244
SBBR,TXOT,2019-05-10,171,701.09,4.099941520467836
SBPA,TXOT,2019-05-10,94,511.34,5.439787234042553
SBCF,TXOT,2019-05-10,139,603.01,4.3382014388489205
SBKP,TXOT,2019-05-10,158,869.96,5.506075949367089
SBSV,TXOT,2019-05-10,60,234.31,3.9051666666666667
SBCT,TXOT,2019-05-10,89,359.47,4.0389887640449444
SBPA,TXOT,2019-05-11,65,253.28,3.8966153846153846
SBSP,TXOT,2019-05-11,181,559.22,3.0896132596685084
SBRJ,TXOT,2019-05-11,94,698.26,7.428297872340425
SBKP,TXOT,2019-05-11,131,836.76,6.387480916030534
SBBR,TXOT,2019-05-11,122,388.22,3.182131147540984
SBGL,TXOT,2019-05-11,101,648.66,6.422376237623762
SBCF,TXOT,2019-05-11,106,398.91,3.763301886792453
SBGR,TXOT,2019-05-11,293,1022.54,3.4898976109215014
SBCT,TXOT,2019-05-11,61,241.52,3.9593442622950823
SBSV,TXOT,2019-05-11,53,297.35,5.610377358490567
SBGL,TXOT,2019-05-12,86,334.83,3.8933720930232556
SBGR,TXOT,2019-05-12,267,993.38,3.7205243445692884
SBKP,TXOT,2019-05-12,133,624,4.69172932330827
SBRJ,TXOT,2019-05-12,90,377.19,4.191
SBCF,TXOT,2019-05-12,123,549.37,4.466422764227643
SBBR,TXOT,2019-05-12,110,334.88,3.044363636363636
SBSV,TXOT,2019-05-12,53,221.77,4.1843396226415095
SBCT,TXOT,2019-05-12,67,318.74,4.757313432835821
SBPA,TXOT,2019-05-12,70,244.65,3.495
SBSP,TXOT,2019-05-12,180,946.79,5.259944444444444
SBGL,TXOT,2019-05-13,102,412.5,4.044117647058823
SBGR,TXOT,2019-05-13,312,1265.04,4.054615384615384
SBKP,TXOT,2019-05-13,153,891.72,5.828235294117647
SBPA,TXOT,2019-05-13,91,338.8,3.723076923076923
SBSP,TXOT,2019-05-13,261,1212.44,4.645363984674329
SBRJ,TXOT,2019-05-13,142,459.76,3.2377464788732393
SBCF,TXOT,2019-05-13,138,574.36,4.162028985507247
SBBR,TXOT,2019-05-13,179,545.49,3.0474301675977653
SBCT,TXOT,2019-05-13,80,392.77,4.909625
SBSV,TXOT,2019-05-13,52,223.38,4.29576923076923
SBGR,TXOT,2019-05-14,313,1172.65,3.746485623003195
SBRJ,TXOT,2019-05-14,127,577.12,4.544251968503937
SBSP,TXOT,2019-05-14,247,1425.5,5.771255060728745
SBBR,TXOT,2019-05-14,174,613.1,3.5235632183908048
SBKP,TXOT,2019-05-14,160,842.64,5.2665
SBSV,TXOT,2019-05-14,50,261.71999999999997,5.234399999999999
SBPA,TXOT,2019-05-14,85,372.83,4.386235294117647
SBGL,TXOT,2019-05-14,93,333.5,3.586021505376344
SBCT,TXOT,2019-05-14,78,275.09,3.5267948717948716
SBCF,TXOT,2019-05-14,130,517.01,3.977
SBKP,TXOT,2019-05-15,159,892.76,5.614842767295597
SBGL,TXOT,2019-05-15,94,466.26,4.960212765957447
SBBR,TXOT,2019-05-15,158,516.08,3.266329113924051
SBCF,TXOT,2019-05-15,131,678.02,5.175725190839694
