ICAO,DATE,PHASE,ARRS100,ADD100,TOT_A100,AVG_ADD_TIME
LPPT,2019-01-01,ARR,256,456.90666666666647,6719.5666666666675,1.7847916666666659
LPPT,2019-01-02,ARR,282,515.1499999999999,7442.5,1.8267730496453896
LPPT,2019-01-03,ARR,258,1263.5166666666662,7479.816666666667,4.897351421188628
LPPT,2019-01-04,ARR,304,811.0233333333333,8197.283333333335,2.6678399122807015
LPPT,2019-01-05,ARR,267,561.3099999999998,7026.750000000001,2.102284644194756
LPPT,2019-01-06,ARR,279,499.07333333333315,7270.816666666664,1.78879330943847
LPPT,2019-01-07,ARR,282,404.86999999999995,7270.016666666664,1.4357092198581558
LPPT,2019-01-08,ARR,254,271.31333333333333,6451.7666666666655,1.0681627296587926
LPPT,2019-01-09,ARR,246,293.9166666666665,6302.183333333332,1.1947831978319776
LPPT,2019-01-10,ARR,249,332.73999999999995,6408.683333333332,1.336305220883534
LPPT,2019-01-11,ARR,275,608.3666666666663,7309.999999999998,2.2122424242424232
LPPT,2019-01-12,ARR,249,220.82999999999996,6256.249999999999,0.8868674698795179
LPPT,2019-01-13,ARR,266,344.1599999999999,6791.133333333333,1.2938345864661651
LPPT,2019-01-14,ARR,266,408.28999999999996,6881.7999999999975,1.5349248120300751
LPPT,2019-01-15,ARR,232,1438.8433333333332,7008.3499999999995,6.2019109195402295
LPPT,2019-01-16,ARR,233,592.46,6244.666666666666,2.54274678111588
LPPT,2019-01-17,ARR,242,172.47666666666663,6051.083333333331,0.7127134986225894
LPPT,2019-01-18,ARR,275,701.4966666666669,7251.483333333333,2.5508969696969706
LPPT,2019-01-19,ARR,237,761.23,6343.416666666667,3.2119409282700424
LPPT,2019-01-20,ARR,261,665.7433333333333,7009.416666666667,2.550740740740741
LPPT,2019-01-21,ARR,262,560.7633333333334,6930.95,2.140318066157761
LPPT,2019-01-22,ARR,232,272.20999999999987,5929.383333333334,1.173318965517241
LPPT,2019-01-23,ARR,228,364.87,5921.2,1.6003070175438596
LPPT,2019-01-24,ARR,242,303.07333333333327,6206.899999999999,1.2523691460055093
LPPT,2019-01-25,ARR,274,314.7466666666666,6988.599999999998,1.1487104622871045
LPPT,2019-01-26,ARR,237,179.32999999999996,5903.916666666665,0.7566666666666665
LPPT,2019-01-27,ARR,256,210.61333333333317,6428.866666666665,0.8227083333333327
LPPT,2019-01-28,ARR,263,452.51000000000005,6850.483333333333,1.7205703422053233
LPPT,2019-01-29,ARR,235,317.58,5946.933333333333,1.3514042553191488
LPPT,2019-01-30,ARR,235,292.0333333333335,5715.316666666667,1.2426950354609936
LPPT,2019-01-31,ARR,256,839.3766666666668,6729.883333333332,3.278815104166667
LPPT,2019-02-01,ARR,259,3421.8133333333326,9560.216666666667,13.21163449163449
LPPT,2019-02-02,ARR,243,489.67666666666645,6390.616666666666,2.0151303155006848
LPPT,2019-02-03,ARR,262,257.45333333333315,6631.949999999998,0.9826463104325692
LPPT,2019-02-04,ARR,267,325.20999999999987,6809.700000000002,1.2180149812734078
LPPT,2019-02-05,ARR,233,209.70999999999992,5873.033333333333,0.9000429184549353
LPPT,2019-02-06,ARR,232,251.94333333333327,5885.483333333334,1.0859626436781606
LPPT,2019-02-07,ARR,243,271.7333333333332,6186.5166666666655,1.1182441700960213
LPPT,2019-02-08,ARR,279,488.74999999999994,7275.450000000001,1.7517921146953404
LPPT,2019-02-09,ARR,249,355.36333333333334,6139.499999999999,1.427161981258367
LPPT,2019-02-10,ARR,267,544.0033333333333,6740.666666666666,2.037465667915106
LPPT,2019-02-11,ARR,266,368.19999999999993,6841.350000000002,1.3842105263157891
LPPT,2019-02-12,ARR,241,308.9166666666667,6172.3666666666695,1.2818118948824344
LPPT,2019-02-13,ARR,227,171.53666666666658,5704.783333333335,0.7556681350954475
LPPT,2019-02-14,ARR,251,276.9966666666665,6416.950000000001,1.103572377158034
LPPT,2019-02-15,ARR,282,349.4533333333333,7226.783333333335,1.2391962174940898
LPPT,2019-02-16,ARR,251,134.23666666666657,6096.25,0.5348074369189904
LPPT,2019-02-17,ARR,269,1235.713333333333,7590.249999999999,4.593729863692688
LPPT,2019-02-18,ARR,270,832.7466666666669,7406.683333333334,3.0842469135802477
LPPT,2019-02-19,ARR,245,153.6699999999999,6126.416666666669,0.6272244897959179
LPPT,2019-02-20,ARR,246,106.52333333333328,5868.016666666666,0.433021680216802
LPPT,2019-02-21,ARR,268,458.5466666666666,6662.533333333334,1.7109950248756218
LPPT,2019-02-22,ARR,285,962.6233333333333,7635.5499999999975,3.377625730994152
LPPT,2019-02-23,ARR,248,481.6766666666668,6427.033333333334,1.9422446236559145
LPPT,2019-02-24,ARR,264,401.5699999999998,6836.233333333335,1.521098484848484
LPPT,2019-02-25,ARR,274,395.1299999999998,7064.150000000002,1.4420802919708022
LPPT,2019-02-26,ARR,247,478.5033333333332,6389.733333333335,1.9372604588394058
LPPT,2019-02-27,ARR,242,457.1066666666667,6402.466666666671,1.888870523415978
