ICAO,YEAR,N,PLI,BLI
EDDF,2024,6900,0.13434782608695653,0.9415942028985507
EDDM,2024,7510,0.01970705725699068,0.8340878828229028
EGKK,2024,8460,0.316548463356974,0.8
EGLL,2024,7361,0.6561608477109089,0.8539600597744872
EHAM,2024,8420,0.21496437054631828,0.7290973871733967
LEBL,2024,8578,0.0995570062951737,0.8068314292375846
LEMD,2024,8746,0.04207637777269609,0.7768122570317859
LFPG,2024,8595,0.009889470622454915,0.8253635834787667
LIRF,2024,8699,0.0014944246465110932,0.7507759512587654
LPPT,2019,8179,0.5202347475241472,0.8589069568406895
LPPT,2020,7060,0.08852691218130311,0.5977337110481586
LPPT,2021,7851,0.06050184689848427,0.6740542606037447
LPPT,2022,8077,0.39631051132846357,0.8475919276959267
LPPT,2023,8112,0.58715483234714,0.8454142011834319
LPPT,2024,8115,0.5992606284658041,0.8587800369685767
LSZH,2024,6632,0.13314234016887816,0.9404402895054282
