ICAO,DATE,ARRS,DEPS,SRC_NA,ARRS_REG,DEPS_REG,HEL,H,M,L,NA
EDDF,2023-01-01,381,422,0,248,288,0,239,560,4,0
EDDF,2023-01-02,492,504,0,359,369,0,241,753,2,0
EDDF,2023-01-03,467,457,0,341,332,0,213,708,3,0
EDDF,2023-01-04,482,499,0,360,365,0,240,735,6,0
EDDF,2023-01-05,497,497,0,361,356,0,250,740,4,0
EDDF,2023-01-06,512,517,0,372,367,0,257,769,3,0
EDDF,2023-01-07,517,512,0,367,357,0,277,744,8,0
EDDF,2023-01-08,534,532,0,380,381,0,271,791,4,0
EDDF,2023-01-09,511,508,0,368,375,0,256,761,2,0
EDDF,2023-01-10,472,461,0,342,330,0,222,700,11,0
EDDF,2023-01-11,478,491,0,353,361,0,241,711,17,0
EDDF,2023-01-12,486,489,0,349,343,0,260,708,7,0
EDDF,2023-01-13,493,504,0,353,350,0,267,727,3,0
EDDF,2023-01-14,500,489,0,345,335,0,280,703,6,0
EDDF,2023-01-15,505,500,0,351,349,0,275,725,5,0
EDDF,2023-01-16,499,495,0,355,358,0,264,720,10,0
EDDF,2023-01-17,449,444,0,319,315,0,221,665,7,0
EDDF,2023-01-18,466,468,0,337,338,0,247,681,6,0
EDDF,2023-01-19,482,486,0,343,342,0,259,697,12,0
EDDF,2023-01-20,486,479,0,350,330,0,257,701,7,0
EDDF,2023-01-21,448,455,0,297,301,0,283,618,2,0
EDDF,2023-01-22,486,482,0,332,331,0,281,682,5,0
EDDF,2023-01-23,468,471,0,328,341,0,261,675,3,0
EDDF,2023-01-24,438,431,0,313,309,0,221,641,7,0
EDDF,2023-01-25,444,453,0,326,327,0,237,649,11,0
EDDF,2023-01-26,477,474,0,341,336,0,258,682,11,0
EDDF,2023-01-27,473,486,0,341,340,0,257,695,7,0
EDDF,2023-01-28,473,469,0,329,320,0,262,676,4,0
EDDF,2023-01-29,502,499,0,349,349,0,274,722,5,0
EDDF,2023-01-30,463,465,0,331,330,0,252,669,7,0
EDDF,2023-01-31,451,440,0,324,319,0,220,662,9,0
EDDF,2023-02-01,468,469,0,346,341,0,225,708,4,0
EDDF,2023-02-02,485,486,0,353,345,0,255,709,7,0
EDDF,2023-02-03,498,509,0,362,361,0,260,741,6,0
EDDF,2023-02-04,491,494,0,341,341,0,275,706,4,0
EDDF,2023-02-05,534,522,0,381,369,0,272,775,9,0
EDDF,2023-02-06,502,509,0,358,371,0,265,739,7,0
EDDF,2023-02-07,477,465,0,350,345,0,219,709,14,0
EDDF,2023-02-08,472,482,0,356,355,0,225,719,10,0
EDDF,2023-02-09,495,507,0,358,360,0,258,741,3,0
EDDF,2023-02-10,516,518,0,379,371,2,269,758,5,0
EDDF,2023-02-11,516,513,0,365,360,0,278,748,3,0
EDDF,2023-02-12,525,514,0,370,359,0,274,762,3,0
EDDF,2023-02-13,502,500,0,356,361,0,260,728,14,0
EDDF,2023-02-14,471,462,0,342,332,0,228,696,9,0
EDDF,2023-02-15,382,389,0,262,259,0,240,518,13,0
EDDF,2023-02-16,497,519,0,358,370,0,272,735,9,0
EDDF,2023-02-17,6,4,0,4,4,0,8,0,2,0
EDDF,2023-02-18,547,549,0,384,372,0,327,765,4,0
EDDF,2023-02-19,546,531,0,382,378,0,283,789,5,0
EDDF,2023-02-20,526,527,0,381,381,0,283,764,6,0
EDDF,2023-02-21,496,480,0,366,350,0,231,732,13,0
EDDF,2023-02-22,508,523,0,382,391,0,250,764,17,0
EDDF,2023-02-23,517,519,0,380,372,0,269,756,11,0
EDDF,2023-02-24,521,524,0,379,374,0,273,760,12,0
EDDF,2023-02-25,521,522,0,370,368,0,282,754,7,0
EDDF,2023-02-26,556,538,0,400,384,0,272,806,16,0
EDDF,2023-02-27,526,530,0,377,386,0,270,777,9,0
EDDF,2023-02-28,487,488,0,356,353,0,227,741,7,0
EDDF,2023-03-01,521,523,0,394,386,2,247,784,11,0
EDDF,2023-03-02,532,543,0,387,390,0,264,795,16,0
EDDF,2023-03-03,548,545,0,403,392,0,275,802,16,0
EDDF,2023-03-04,522,529,0,368,370,0,278,765,8,0
EDDF,2023-03-05,557,542,0,392,382,0,281,811,7,0
EDDF,2023-03-06,522,514,0,368,373,0,272,760,4,0
EDDF,2023-03-07,484,473,0,356,346,0,224,719,14,0
EDDF,2023-03-08,492,498,0,367,362,0,248,727,15,0
EDDF,2023-03-09,526,544,0,382,391,2,283,774,11,0
EDDF,2023-03-10,524,527,0,382,376,0,268,777,6,0
EDDF,2023-03-11,533,539,0,374,376,0,292,776,4,0
EDDF,2023-03-12,540,525,0,379,366,0,276,785,4,0
EDDF,2023-03-13,512,504,0,365,363,0,280,731,5,0
EDDF,2023-03-14,498,501,0,367,367,0,232,757,10,0
EDDF,2023-03-15,539,550,0,407,411,4,253,821,11,0
EDDF,2023-03-16,539,542,0,396,393,0,272,806,3,0
EDDF,2023-03-17,555,551,0,406,392,0,284,814,8,0
EDDF,2023-03-18,537,537,0,380,377,0,288,783,3,0
EDDF,2023-03-19,549,541,0,392,388,0,276,810,4,0
EDDF,2023-03-20,539,545,0,389,399,0,281,790,13,0
EDDF,2023-03-21,499,487,0,365,355,0,232,749,5,0
EDDF,2023-03-22,524,526,0,396,390,0,252,789,9,0
EDDF,2023-03-23,537,543,0,392,392,0,270,800,10,0
EDDF,2023-03-24,539,544,0,392,385,0,281,796,6,0
EDDF,2023-03-25,516,521,0,360,364,0,287,744,6,0
EDDF,2023-03-26,566,573,0,402,400,0,289,840,10,0
EDDF,2023-03-27,10,7,0,10,6,0,4,11,2,0
EDDF,2023-03-28,564,558,0,396,395,0,304,814,4,0
EDDF,2023-03-29,576,581,0,426,429,0,268,879,10,0
EDDF,2023-03-30,582,568,0,435,412,0,271,869,10,0
EDDF,2023-03-31,574,588,0,419,419,0,282,864,16,0
EDDF,2023-04-01,602,594,0,432,420,0,308,879,9,0
EDDF,2023-04-02,590,591,0,417,424,0,284,890,7,0
EDDF,2023-04-03,584,582,0,430,429,0,269,892,5,0
EDDF,2023-04-04,561,554,0,419,416,0,244,861,10,0
EDDF,2023-04-05,579,580,0,437,432,0,258,897,4,0
EDDF,2023-04-06,593,601,0,447,446,0,265,923,6,0
EDDF,2023-04-07,600,602,0,443,432,0,286,906,10,0
EDDF,2023-04-08,592,587,0,425,415,0,300,875,4,0
EDDF,2023-04-09,600,595,0,432,432,0,284,905,6,0
EDDF,2023-04-10,581,592,0,429,441,0,265,905,3,0
EDDF,2023-04-11,565,555,0,424,419,0,239,871,10,0
EDDF,2023-04-12,570,574,0,430,431,0,252,886,6,0
EDDF,2023-04-13,583,590,0,440,436,0,269,896,8,0
EDDF,2023-04-14,599,597,0,447,434,0,279,910,7,0
EDDF,2023-04-15,606,605,0,444,436,0,296,912,3,0
EDDF,2023-04-16,608,603,0,447,442,0,274,932,5,0
EDDF,2023-04-17,590,593,0,434,442,0,274,905,4,0
EDDF,2023-04-18,572,569,0,433,429,0,244,881,16,0
EDDF,2023-04-19,588,593,0,446,447,0,265,913,3,0
EDDF,2023-04-20,594,594,0,447,442,0,275,902,11,0
EDDF,2023-04-21,607,596,0,457,428,0,287,902,14,0
EDDF,2023-04-22,600,613,0,439,448,0,289,920,4,0
EDDF,2023-04-23,624,608,0,455,442,0,293,934,5,0
EDDF,2023-04-24,586,593,0,430,440,0,279,891,9,0
EDDF,2023-04-25,572,554,0,429,417,0,251,868,7,0
EDDF,2023-04-26,570,589,0,429,433,0,268,879,12,0
EDDF,2023-04-27,608,604,0,452,447,2,285,910,15,0
EDDF,2023-04-28,602,609,0,453,444,0,285,906,20,0
EDDF,2023-04-29,608,606,0,442,441,4,299,906,5,0
EDDF,2023-04-30,627,619,0,463,452,0,298,944,4,0
EDDF,2023-05-01,588,591,0,430,439,2,266,908,3,0
EDDF,2023-05-02,576,572,0,431,431,0,244,897,7,0
EDDF,2023-05-03,592,610,0,445,451,0,266,926,10,0
EDDF,2023-05-04,619,611,0,468,454,0,286,940,4,0
EDDF,2023-05-05,620,619,0,470,454,0,281,958,0,0
EDDF,2023-05-06,631,631,0,463,458,0,291,966,5,0
EDDF,2023-05-07,628,627,0,466,462,0,292,959,4,0
EDDF,2023-05-08,623,617,0,463,461,2,278,956,4,0
EDDF,2023-05-09,575,575,0,433,436,0,248,897,5,0
EDDF,2023-05-10,615,620,0,467,461,0,271,948,16,0
EDDF,2023-05-11,625,628,0,473,472,0,280,959,14,0
EDDF,2023-05-12,649,650,0,496,481,0,296,991,12,0
EDDF,2023-05-13,633,637,0,467,465,0,292,971,7,0
EDDF,2023-05-14,660,653,0,488,483,0,309,999,5,0
EDDF,2023-05-15,627,619,0,470,465,0,278,965,3,0
EDDF,2023-05-16,552,547,0,410,404,0,253,830,16,0
EDDF,2023-05-17,565,575,0,412,409,0,283,843,14,0
EDDF,2023-05-18,577,584,0,428,424,0,277,881,3,0
EDDF,2023-05-19,575,568,0,422,405,0,293,849,1,0
EDDF,2023-05-20,574,579,0,407,407,0,298,853,2,0
EDDF,2023-05-21,613,600,0,445,427,0,309,897,7,0
EDDF,2023-05-22,558,563,0,394,403,0,287,826,8,0
EDDF,2023-05-23,580,573,0,431,421,4,257,884,8,0
EDDF,2023-05-24,606,614,0,446,445,0,287,922,11,0
EDDF,2023-05-25,583,583,0,430,422,0,288,864,14,0
EDDF,2023-05-26,608,606,0,452,443,0,292,907,15,0
EDDF,2023-05-27,599,602,0,430,424,0,309,882,10,0
EDDF,2023-05-28,613,601,0,437,428,0,302,904,8,0
