DATE,FLTS,REG
2024-01-01,21660,EUR
2024-01-02,24259,EUR
2024-01-03,24338,EUR
2024-01-04,25012,EUR
2024-01-05,26119,EUR
2024-01-06,23241,EUR
2024-01-07,24980,EUR
2024-01-08,24867,EUR
2024-01-09,21624,EUR
2024-01-10,21967,EUR
2024-01-11,23030,EUR
2024-01-12,24896,EUR
2024-01-13,20671,EUR
2024-01-14,23031,EUR
2024-01-15,23226,EUR
2024-01-16,20542,EUR
2024-01-17,19937,EUR
2024-01-18,22079,EUR
2024-01-19,24977,EUR
2024-01-20,20748,EUR
2024-01-21,22485,EUR
2024-01-22,23348,EUR
2024-01-23,21072,EUR
2024-01-24,21540,EUR
2024-01-25,23252,EUR
2024-01-26,24846,EUR
2024-01-27,20805,EUR
2024-01-28,23140,EUR
2024-01-29,23588,EUR
2024-01-30,21345,EUR
2024-01-31,21919,EUR
2024-02-01,22507,EUR
2024-02-02,25105,EUR
2024-02-03,21170,EUR
2024-02-04,23397,EUR
2024-02-05,24524,EUR
2024-02-06,21707,EUR
2024-02-07,21578,EUR
2024-02-08,24008,EUR
2024-02-09,26277,EUR
2024-02-10,22619,EUR
2024-02-11,23907,EUR
2024-02-12,24700,EUR
2024-02-13,22464,EUR
2024-02-14,23332,EUR
2024-02-15,25087,EUR
2024-02-16,27020,EUR
2024-02-17,23374,EUR
2024-02-18,25243,EUR
2024-02-19,25502,EUR
2024-02-20,22085,EUR
2024-02-21,23696,EUR
2024-02-22,24697,EUR
2024-02-23,26532,EUR
2024-02-24,22985,EUR
2024-02-25,25157,EUR
2024-02-26,25754,EUR
2024-02-27,23275,EUR
2024-02-28,24064,EUR
2024-02-29,25474,EUR
2024-03-01,27142,EUR
2024-03-02,23081,EUR
2024-03-03,25240,EUR
2024-03-04,26493,EUR
2024-03-05,23919,EUR
2024-03-06,24504,EUR
2024-03-07,25262,EUR
2024-03-08,26688,EUR
2024-03-09,22888,EUR
2024-03-10,25410,EUR
2024-03-11,26483,EUR
2024-03-12,23504,EUR
2024-03-13,24087,EUR
2024-03-14,26147,EUR
2024-03-15,27982,EUR
2024-03-16,23227,EUR
2024-03-17,25516,EUR
2024-03-18,26725,EUR
2024-03-19,24380,EUR
2024-03-20,25312,EUR
2024-03-21,26554,EUR
2024-03-22,28555,EUR
2024-03-23,23786,EUR
2024-03-24,25208,EUR
2024-03-25,26833,EUR
2024-03-26,25001,EUR
2024-03-27,26075,EUR
2024-03-28,26680,EUR
2024-03-29,26492,EUR
2024-03-30,23731,EUR
2024-03-31,5,EUR
2024-04-01,27805,EUR
2024-04-02,28176,EUR
2024-04-03,28392,EUR
2024-04-04,29336,EUR
2024-04-05,30081,EUR
2024-04-06,26420,EUR
2024-04-07,28496,EUR
2024-04-08,29588,EUR
2024-04-09,28688,EUR
2024-04-10,29344,EUR
2024-04-11,30516,EUR
2024-04-12,30693,EUR
2024-04-13,26757,EUR
2024-04-14,28589,EUR
2024-04-15,29521,EUR
2024-04-16,28797,EUR
2024-04-17,29325,EUR
2024-04-18,30587,EUR
2024-04-19,30845,EUR
2024-04-20,26641,EUR
2024-04-21,28865,EUR
2024-04-22,29978,EUR
2024-04-23,29090,EUR
2024-04-24,29785,EUR
2024-04-25,28546,EUR
2024-04-26,31527,EUR
2024-04-27,27391,EUR
2024-04-28,29077,EUR
2024-04-29,30471,EUR
2024-04-30,29935,EUR
2024-05-01,28889,EUR
2024-05-02,30770,EUR
2024-05-03,31498,EUR
2024-05-04,28164,EUR
2024-05-05,29929,EUR
2024-05-06,30957,EUR
2024-05-07,30719,EUR
2024-05-08,31345,EUR
2024-05-09,30768,EUR
2024-05-10,31115,EUR
2024-05-11,28498,EUR
2024-05-12,31206,EUR
2024-05-13,31807,EUR
2024-05-14,30979,EUR
2024-05-15,31568,EUR
2024-05-16,32398,EUR
2024-05-17,32418,EUR
2024-05-18,28894,EUR
2024-05-19,30253,EUR
2024-05-20,31347,EUR
2024-05-21,31241,EUR
