REG,DATE,FLTS,YEAR
EUR,2019-01-01,20268,2019
EUR,2019-01-02,26259,2019
EUR,2019-01-03,26649,2019
EUR,2019-01-04,27162,2019
EUR,2019-01-05,23270,2019
EUR,2019-01-06,25876,2019
EUR,2019-01-07,26771,2019
EUR,2019-01-08,24643,2019
EUR,2019-01-09,25607,2019
EUR,2019-01-10,25881,2019
EUR,2019-01-11,26726,2019
EUR,2019-01-12,21546,2019
EUR,2019-01-13,24247,2019
EUR,2019-01-14,26331,2019
EUR,2019-01-15,24143,2019
EUR,2019-01-16,25540,2019
EUR,2019-01-17,26277,2019
EUR,2019-01-18,28037,2019
EUR,2019-01-19,21468,2019
EUR,2019-01-20,24590,2019
EUR,2019-01-21,26847,2019
EUR,2019-01-22,24683,2019
EUR,2019-01-23,25195,2019
EUR,2019-01-24,26318,2019
EUR,2019-01-25,27564,2019
EUR,2019-01-26,21253,2019
EUR,2019-01-27,24364,2019
EUR,2019-01-28,26335,2019
EUR,2019-01-29,24776,2019
EUR,2019-01-30,25307,2019
EUR,2019-01-31,26447,2019
EUR,2019-02-01,27382,2019
EUR,2019-02-02,21697,2019
EUR,2019-02-03,24055,2019
EUR,2019-02-04,26518,2019
EUR,2019-02-05,25080,2019
EUR,2019-02-06,25995,2019
EUR,2019-02-07,27034,2019
EUR,2019-02-08,28196,2019
EUR,2019-02-09,22119,2019
EUR,2019-02-10,24678,2019
EUR,2019-02-11,26921,2019
EUR,2019-02-12,25586,2019
EUR,2019-02-13,25682,2019
EUR,2019-02-14,27575,2019
EUR,2019-02-15,29198,2019
EUR,2019-02-16,23459,2019
EUR,2019-02-17,25742,2019
EUR,2019-02-18,27233,2019
EUR,2019-02-19,25886,2019
EUR,2019-02-20,26312,2019
EUR,2019-02-21,27733,2019
EUR,2019-02-22,28732,2019
EUR,2019-02-23,23538,2019
EUR,2019-02-24,26259,2019
EUR,2019-02-25,27791,2019
EUR,2019-02-26,26329,2019
EUR,2019-02-27,27028,2019
EUR,2019-02-28,28075,2019
EUR,2019-03-01,28886,2019
EUR,2019-03-02,23449,2019
EUR,2019-03-03,25714,2019
EUR,2019-03-04,27380,2019
EUR,2019-03-05,26509,2019
EUR,2019-03-06,27319,2019
EUR,2019-03-07,28081,2019
EUR,2019-03-08,29181,2019
EUR,2019-03-09,23149,2019
EUR,2019-03-10,25696,2019
EUR,2019-03-11,28193,2019
EUR,2019-03-12,26772,2019
