ICAO,YEAR,MONTH,TOT_FLTS,N
EDDF,2023,1,29711,31
EDDF,2023,2,27181,28
EDDF,2023,3,32125,31
EDDF,2023,4,35503,30
EDDF,2023,5,37279,31
EDDF,2023,6,38884,30
EDDF,2023,7,40626,31
EDDF,2023,8,39910,31
EDDF,2023,9,39653,30
EDDF,2023,10,40720,31
EDDF,2023,11,35310,30
EDDF,2023,12,33534,31
EDDF,2024,1,31060,31
EDDF,2024,2,30177,29
EDDF,2024,3,33969,31
EDDF,2024,4,37556,30
EDDF,2024,5,39959,31
EDDF,2024,6,39475,30
EDDF,2024,7,40515,31
EDDF,2024,8,40359,31
EDDF,2024,9,39802,30
EDDF,2024,10,39848,31
EDDF,2024,11,34828,30
EDDF,2024,12,33304,31
EDDM,2023,1,20357,31
EDDM,2023,2,19737,28
EDDM,2023,3,22013,31
EDDM,2023,4,25000,30
EDDM,2023,5,26959,31
EDDM,2023,6,27437,30
EDDM,2023,7,28092,31
EDDM,2023,8,28114,31
EDDM,2023,9,29360,30
EDDM,2023,10,29707,31
EDDM,2023,11,25005,30
EDDM,2023,12,20249,30
EDDM,2024,1,21733,31
EDDM,2024,2,22354,29
EDDM,2024,3,24196,31
EDDM,2024,4,27877,30
EDDM,2024,5,30163,31
EDDM,2024,6,29751,30
EDDM,2024,7,30181,31
EDDM,2024,8,30718,31
EDDM,2024,9,30491,30
EDDM,2024,10,30206,31
EDDM,2024,11,25462,30
EDDM,2024,12,24095,31
EGKK,2023,1,15530,31
EGKK,2023,2,16163,28
EGKK,2023,3,18893,31
EGKK,2023,4,20972,30
EGKK,2023,5,23385,31
EGKK,2023,6,24274,30
EGKK,2023,7,26274,31
EGKK,2023,8,26000,31
EGKK,2023,9,24931,30
EGKK,2023,10,23919,31
EGKK,2023,11,16650,30
EGKK,2024,1,15873,31
EGKK,2024,2,17647,29
EGKK,2024,3,20020,31
EGKK,2024,4,21975,30
EGKK,2024,5,24324,31
EGKK,2024,6,24870,30
EGKK,2024,7,26386,31
EGKK,2024,8,26672,31
EGKK,2024,9,25631,30
EGKK,2024,10,24637,31
EGKK,2024,11,17173,30
EGKK,2024,12,20153,31
EGLL,2023,1,35091,31
EGLL,2023,2,32462,28
EGLL,2023,3,36786,31
EGLL,2023,4,37372,30
EGLL,2023,5,39569,31
EGLL,2023,6,38204,30
EGLL,2023,7,40482,31
EGLL,2023,8,39963,31
EGLL,2023,9,39286,30
EGLL,2023,10,40334,31
EGLL,2023,11,37720,30
EGLL,2023,12,37932,31
EGLL,2024,1,37140,31
EGLL,2024,2,36378,29
EGLL,2024,3,39709,31
EGLL,2024,4,39232,30
EGLL,2024,5,41214,31
EGLL,2024,6,39884,30
EGLL,2024,7,41601,31
EGLL,2024,8,41638,31
EGLL,2024,9,40057,30
EGLL,2024,10,41071,31
EGLL,2024,11,38190,30
EGLL,2024,12,38940,31
EHAM,2023,1,31550,31
EHAM,2023,2,29905,28
EHAM,2023,3,35206,31
EHAM,2023,4,38276,30
EHAM,2023,5,41872,31
EHAM,2023,6,41265,30
EHAM,2023,7,43076,31
EHAM,2023,8,43457,31
EHAM,2023,9,40786,30
EHAM,2023,10,43372,31
EHAM,2023,11,36202,30
EHAM,2023,12,37134,31
EHAM,2024,1,36484,31
EHAM,2024,2,36582,29
EHAM,2024,3,39994,31
EHAM,2024,4,40965,30
EHAM,2024,5,44117,31
EHAM,2024,6,42969,30
EHAM,2024,7,44347,31
EHAM,2024,8,44983,31
EHAM,2024,9,43631,30
EHAM,2024,10,43687,31
EHAM,2024,11,38309,30
EHAM,2024,12,38881,31
LEBL,2023,1,20780,31
LEBL,2023,2,20581,28
LEBL,2023,3,23942,31
LEBL,2023,4,26676,30
LEBL,2023,5,27620,31
LEBL,2023,6,27933,30
LEBL,2023,7,30465,31
LEBL,2023,8,29730,31
LEBL,2023,9,28299,30
LEBL,2023,10,28875,31
LEBL,2023,11,25008,30
LEBL,2024,1,23464,31
LEBL,2024,2,23418,29
LEBL,2024,3,26843,31
LEBL,2024,4,29646,30
LEBL,2024,5,31388,31
LEBL,2024,6,31137,30
LEBL,2024,7,32527,31
LEBL,2024,8,31953,31
LEBL,2024,9,31477,30
LEBL,2024,10,31277,31
LEBL,2024,11,25871,30
LEBL,2024,12,26701,31
LEMD,2023,1,29600,31
LEMD,2023,2,27012,28
LEMD,2023,3,30671,31
LEMD,2023,4,31118,30
LEMD,2023,5,31895,31
LEMD,2023,6,32250,30
LEMD,2023,7,34136,31
LEMD,2023,8,33563,31
LEMD,2023,9,33538,30
LEMD,2023,10,34201,31
LEMD,2023,11,31526,30
LEMD,2024,1,31247,31
LEMD,2024,2,30599,29
LEMD,2024,3,33949,31
LEMD,2024,4,34456,30
LEMD,2024,5,35996,31
LEMD,2024,6,34029,30
LEMD,2024,7,37314,31
LEMD,2024,8,36224,31
LEMD,2024,9,36092,30
LEMD,2024,10,34009,31
LEMD,2024,11,33615,30
LEMD,2024,12,34530,31
LFPG,2023,1,33608,31
LFPG,2023,2,31076,28
LFPG,2023,3,35185,31
LFPG,2023,4,37372,30
LFPG,2023,5,40196,31
LFPG,2023,6,39917,30
LFPG,2023,7,41431,31
LFPG,2023,8,41807,31
LFPG,2023,9,39984,30
LFPG,2023,10,40678,31
LFPG,2023,11,35880,30
LFPG,2023,12,37310,31
LFPG,2024,1,31995,31
LFPG,2024,2,31820,29
LFPG,2024,3,36526,31
LFPG,2024,4,38253,30
LFPG,2024,5,40773,31
LFPG,2024,6,41521,30
LFPG,2024,7,43580,31
LFPG,2024,8,43986,31
LFPG,2024,9,41395,30
LFPG,2024,10,41239,31
LFPG,2024,11,35608,30
LFPG,2024,12,38631,31
LIRF,2023,1,16903,31
LIRF,2023,2,15836,28
LIRF,2023,3,18568,31
LIRF,2023,4,21309,30
LIRF,2023,5,22842,31
LIRF,2023,6,24115,30
LIRF,2023,7,25439,31
LIRF,2023,8,26039,31
LIRF,2023,9,24915,30
LIRF,2023,10,25206,31
LIRF,2023,11,21618,30
LIRF,2023,12,22217,31
LIRF,2024,1,20945,31
LIRF,2024,2,19831,29
LIRF,2024,3,22882,31
LIRF,2024,4,26697,30
LIRF,2024,5,28370,31
LIRF,2024,6,29011,30
LIRF,2024,7,30710,31
LIRF,2024,8,31132,31
LIRF,2024,9,29222,30
LIRF,2024,10,28139,31
LIRF,2024,11,23123,30
LIRF,2024,12,24046,31
LSZH,2023,1,16986,31
LSZH,2023,2,15795,28
LSZH,2023,3,18537,31
LSZH,2023,4,20508,30
LSZH,2023,5,22096,31
LSZH,2023,6,22598,30
LSZH,2023,7,23730,31
LSZH,2023,8,23222,31
LSZH,2023,9,23286,30
LSZH,2023,10,23377,31
LSZH,2023,11,18208,30
LSZH,2023,12,18862,31
LSZH,2024,1,18410,31
LSZH,2024,2,17749,29
LSZH,2024,3,20015,31
LSZH,2024,4,21941,30
LSZH,2024,5,23748,31
LSZH,2024,6,23574,30
LSZH,2024,7,24599,31
LSZH,2024,8,24119,31
LSZH,2024,9,23760,30
LSZH,2024,10,23794,31
LSZH,2024,11,19135,30
LSZH,2024,12,20019,31
