RWY;YEAR;MONTH;REF;ADD_TIME;ARRS;TOT_ASMA
02;2023;Mar;13,01795739;3,03906015;4483;16,05701754
2;2023;Apr;12,90356101;3,209457662;8159;16,11301867
2;2023;May;12,93008907;3,362373865;7582;16,29246293
2;2023;Jun;12,84314154;3,56848257;7405;16,41162411
2;2023;Jul;12,8678536;3,961574575;10300;16,82942817
2;2023;Aug;12,8768557;4,132216919;9099;17,00907262
2;2024;Mar;13,07536603;5,294794209;4938;18,37016024
2;2024;Apr;13,0531596;3,625355142;6275;16,67851474
2;2024;May;13,54177182;4,152531394;8267;17,69430322
2;2024;Jun;13,73158322;4,363810238;7120;18,09539346
2;2024;Jul;13,69949843;4,778714034;9007;18,47821247
2;2024;Aug;13,71349523;5,028135015;10359;18,74163025
20;2023;Mar;11,28131385;2,668602773;4560;13,94991662
20;2023;Apr;11,31057013;2,651606122;1183;13,96217625
20;2023;May;11,31727043;2,729430586;2150;14,04670101
20;2023;Jun;11,34968468;3,249221364;2485;14,59890605
20;2023;Jul;11,45808753;3,512775779;168;14,97086331
20;2023;Aug;11,35961893;2,883974037;1406;14,24359296
20;2024;Mar;11,43832545;5,255375267;4388;16,69370071
20;2024;Apr;11,43688824;3,613142196;3375;15,05003044
20;2024;May;11,41873463;3,124828346;1851;14,54356298
20;2024;Jun;11,3634668;4,589302636;2868;15,95276944
20;2024;Jul;11,41815855;5,203330212;1504;16,62148876
20;2024;Aug;11,31746835;5,40742616;180;16,72489451
