ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
EDDF,2023-01-01,ARR,381,0,0,0,1,3,2,8,12,14,27,29,41,70,57,38,18,16,9,8,4,3,1,2,4,0,14
EDDF,2023-01-01,DEP,422,0,0,0,0,0,0,0,1,1,2,6,21,60,109,73,40,40,24,14,13,2,1,3,1,1,10
EDDF,2023-01-02,ARR,492,0,1,0,0,1,2,3,8,17,22,32,58,71,79,40,45,32,19,18,9,5,7,7,2,2,12
EDDF,2023-01-02,DEP,504,1,0,0,0,0,0,0,1,0,0,3,10,36,106,93,77,49,39,25,21,11,4,4,2,2,20
EDDF,2023-01-03,ARR,467,0,0,0,1,1,0,5,5,20,25,55,55,74,64,47,28,23,24,7,4,1,3,2,4,1,18
EDDF,2023-01-03,DEP,457,0,0,0,0,0,0,0,0,0,1,10,8,49,81,84,64,48,30,22,17,7,5,4,7,3,17
EDDF,2023-01-04,ARR,482,1,0,1,0,0,0,4,4,7,11,30,56,59,70,74,49,29,19,14,10,9,5,5,2,3,20
EDDF,2023-01-04,DEP,499,1,0,1,0,0,0,0,1,1,1,4,12,32,101,100,64,33,36,26,20,14,8,5,6,4,29
EDDF,2023-01-05,ARR,497,0,0,0,2,1,0,1,4,14,14,42,73,72,55,70,34,22,13,13,14,13,8,2,3,6,21
EDDF,2023-01-05,DEP,497,0,0,1,0,1,0,0,0,0,1,4,8,57,113,80,62,40,29,21,16,11,13,10,2,5,23
EDDF,2023-01-06,ARR,512,1,0,0,1,1,0,5,6,7,18,36,63,72,58,58,40,31,24,15,18,18,8,7,3,4,18
EDDF,2023-01-06,DEP,517,1,0,0,0,1,0,0,0,0,1,1,11,43,87,88,76,30,32,33,21,21,17,13,7,6,28
EDDF,2023-01-07,ARR,517,0,0,0,1,0,3,5,3,9,32,55,71,80,61,55,27,23,23,13,7,12,5,4,6,4,18
EDDF,2023-01-07,DEP,512,0,0,0,0,0,0,0,1,1,0,3,14,59,114,73,66,34,42,31,14,12,11,12,4,1,20
EDDF,2023-01-08,ARR,534,1,0,0,0,1,2,4,2,10,16,42,70,85,68,58,35,37,24,14,17,5,9,9,2,4,19
EDDF,2023-01-08,DEP,532,2,0,0,0,0,0,0,1,0,1,6,11,52,95,90,72,55,37,26,20,16,5,5,6,5,27
EDDF,2023-01-09,ARR,511,0,0,0,0,0,1,5,3,14,11,35,62,72,72,58,39,37,20,23,14,10,4,3,4,2,22
EDDF,2023-01-09,DEP,508,0,0,0,0,0,0,0,0,1,2,8,10,54,75,82,60,48,32,23,27,19,12,10,11,6,28
EDDF,2023-01-10,ARR,472,0,0,1,0,1,2,4,6,15,31,38,70,85,60,42,36,20,16,8,4,5,6,2,2,1,17
EDDF,2023-01-10,DEP,461,0,0,0,0,0,0,0,0,1,0,7,16,64,117,78,39,46,28,24,12,12,2,5,1,2,7
EDDF,2023-01-11,ARR,478,1,0,1,1,2,1,2,5,13,26,36,59,86,77,49,36,23,11,13,9,8,4,4,3,3,5
EDDF,2023-01-11,DEP,491,0,1,0,0,2,1,0,1,1,1,7,17,69,99,78,54,36,29,25,19,11,6,5,10,3,16
EDDF,2023-01-12,ARR,486,1,0,2,1,0,2,1,9,12,14,45,52,71,73,51,47,30,20,10,8,6,5,3,4,3,16
EDDF,2023-01-12,DEP,489,0,0,0,0,0,1,0,1,0,2,4,17,56,105,69,55,39,32,22,19,13,8,4,5,6,31
EDDF,2023-01-13,ARR,493,1,0,1,2,2,2,0,6,9,29,34,66,61,69,54,44,27,20,19,10,8,6,3,4,4,12
EDDF,2023-01-13,DEP,504,0,0,0,0,0,0,0,0,2,2,2,5,53,99,90,65,39,29,24,21,17,11,9,8,6,22
EDDF,2023-01-14,ARR,500,1,1,3,1,1,4,5,11,10,19,48,54,75,56,57,37,18,20,18,13,13,10,3,3,1,18
EDDF,2023-01-14,DEP,489,1,0,0,0,0,0,1,0,1,0,4,13,48,101,69,55,50,38,28,18,10,10,9,5,7,21
EDDF,2023-01-15,ARR,505,0,0,2,2,1,3,3,5,14,15,38,62,89,72,47,44,31,12,17,10,7,4,4,5,1,17
EDDF,2023-01-15,DEP,500,1,0,0,0,0,0,0,0,0,0,3,15,67,105,94,61,43,33,15,11,13,9,9,4,0,17
EDDF,2023-01-16,ARR,499,2,1,1,0,0,1,2,5,5,23,45,61,59,65,61,39,25,21,20,8,14,7,6,7,1,20
EDDF,2023-01-16,DEP,495,0,2,0,0,1,0,0,0,0,0,6,16,67,105,80,61,43,41,13,22,6,5,7,2,3,15
EDDF,2023-01-17,ARR,449,3,1,1,0,1,1,1,5,17,28,42,82,70,37,50,37,16,20,9,2,1,3,5,1,2,14
EDDF,2023-01-17,DEP,444,2,0,0,0,1,0,0,0,1,3,9,33,86,95,81,36,26,19,12,11,5,5,3,4,4,8
EDDF,2023-01-18,ARR,466,0,1,0,3,2,0,3,7,15,15,28,68,62,74,44,38,32,21,7,7,7,8,0,6,4,14
EDDF,2023-01-18,DEP,468,1,0,0,0,1,0,0,1,3,2,10,15,64,83,88,53,29,40,22,13,9,10,5,1,2,16
EDDF,2023-01-19,ARR,482,1,0,2,0,1,2,3,6,12,25,28,58,56,46,62,32,35,24,22,11,11,8,9,5,5,18
EDDF,2023-01-19,DEP,486,1,0,0,0,0,1,0,3,0,3,4,13,33,80,89,60,46,34,26,18,16,18,10,7,2,22
EDDF,2023-01-20,ARR,486,0,1,2,0,2,2,3,5,11,9,25,46,31,47,48,53,49,37,21,18,16,11,6,10,4,29
EDDF,2023-01-20,DEP,479,0,0,1,0,0,0,0,1,0,2,3,4,15,59,51,53,32,33,36,29,21,26,17,16,14,66
EDDF,2023-01-21,ARR,448,2,0,0,0,0,1,4,7,4,5,15,16,13,20,26,29,27,15,24,16,10,17,17,19,14,147
EDDF,2023-01-21,DEP,455,0,0,0,0,0,0,1,0,0,0,1,4,5,23,43,29,35,24,23,30,22,18,15,18,16,148
EDDF,2023-01-22,ARR,486,0,0,0,0,3,1,8,7,10,17,41,48,53,66,49,37,21,19,23,12,15,9,4,3,5,35
EDDF,2023-01-22,DEP,482,2,0,0,0,0,0,1,0,0,1,4,14,38,87,80,57,45,42,14,20,26,10,6,6,4,25
EDDF,2023-01-23,ARR,468,2,0,2,3,0,2,3,4,12,20,45,52,68,56,50,44,32,12,8,7,9,5,6,2,5,19
EDDF,2023-01-23,DEP,471,1,0,0,1,0,0,0,1,1,1,5,14,62,101,98,53,36,25,19,5,8,5,4,6,3,22
EDDF,2023-01-24,ARR,438,2,0,0,0,1,1,5,10,18,35,59,56,66,64,29,20,26,16,5,4,3,1,4,1,1,11
EDDF,2023-01-24,DEP,431,0,0,0,0,0,0,0,0,0,2,7,25,94,114,63,51,26,14,11,9,4,4,0,1,0,6
EDDF,2023-01-25,ARR,444,1,3,1,1,2,3,3,16,8,31,49,64,68,56,36,29,16,11,13,11,4,2,3,1,0,12
EDDF,2023-01-25,DEP,453,0,2,1,0,0,0,0,2,0,1,9,22,70,121,70,52,35,17,17,4,4,5,2,5,4,10
EDDF,2023-01-26,ARR,477,1,1,0,1,3,1,7,6,12,19,40,42,52,57,42,50,34,24,18,13,8,7,4,8,0,27
EDDF,2023-01-26,DEP,474,0,0,0,0,0,0,0,0,1,0,5,13,30,86,71,73,43,29,33,28,16,6,6,6,5,23
EDDF,2023-01-27,ARR,473,1,0,1,2,1,3,5,7,9,17,27,60,60,65,51,34,38,19,14,15,8,6,6,4,5,15
EDDF,2023-01-27,DEP,486,1,0,0,1,0,0,0,1,2,0,7,8,50,92,96,62,41,30,25,19,12,10,5,6,2,16
EDDF,2023-01-28,ARR,473,2,1,2,2,0,5,8,8,10,26,31,63,57,52,46,37,36,16,14,9,6,6,5,6,8,17
