REG,DATE,A,D,I,O,ARRS,DEPS,ARRS_DOM,DEPS_DOM,OVR_FLTS
EUR,2019-01-01T00:00:00Z,2975,3176,16092,1252,19067,19268,16092,16092,544
EUR,2019-01-02T00:00:00Z,2814,2823,20207,558,23021,23030,20207,20207,558
EUR,2019-01-03T00:00:00Z,2903,2879,20412,595,23315,23291,20412,20412,595
EUR,2019-01-04T00:00:00Z,2885,2939,20937,544,23822,23876,20937,20937,544
EUR,2019-01-05T00:00:00Z,3054,3053,16796,516,19850,19849,16796,16796,516
EUR,2019-01-06T00:00:00Z,3102,3023,19348,540,22450,22371,19348,19348,540
EUR,2019-01-07T00:00:00Z,2831,2692,20872,496,23703,23564,20872,20872,496
EUR,2019-01-08T00:00:00Z,2669,2692,18873,546,21542,21565,18873,18873,546
EUR,2019-01-09T00:00:00Z,2748,2721,19750,540,22498,22471,19750,19750,540
EUR,2019-01-10T00:00:00Z,2782,2770,19935,544,22717,22705,19935,19935,544
EUR,2019-01-11T00:00:00Z,2794,2850,20736,499,23530,23586,20736,20736,499
EUR,2019-01-12T00:00:00Z,2864,2902,15431,503,18295,18333,15431,15431,503
EUR,2019-01-13T00:00:00Z,2906,2883,18041,546,20947,20924,18041,18041,546
EUR,2019-01-14T00:00:00Z,2681,2601,20691,478,23372,23292,20691,20691,478
EUR,2019-01-15T00:00:00Z,2586,2525,18676,482,21262,21201,18676,18676,482
EUR,2019-01-16T00:00:00Z,2542,2557,20055,490,22597,22612,20055,20055,490
EUR,2019-01-17T00:00:00Z,2673,2670,20573,493,23246,23243,20573,20573,493
EUR,2019-01-18T00:00:00Z,2722,2762,22223,466,24945,24985,22223,22223,466
EUR,2019-01-19T00:00:00Z,2766,2773,15584,462,18350,18357,15584,15584,462
EUR,2019-01-20T00:00:00Z,2823,2755,18648,490,21471,21403,18648,18648,490
EUR,2019-01-21T00:00:00Z,2713,2589,21194,443,23907,23783,21194,21194,443
EUR,2019-01-22T00:00:00Z,2534,2487,19299,468,21833,21786,19299,19299,468
EUR,2019-01-23T00:00:00Z,2482,2526,19840,454,22322,22366,19840,19840,454
EUR,2019-01-24T00:00:00Z,2659,2708,20619,466,23278,23327,20619,20619,466
EUR,2019-01-25T00:00:00Z,2674,2765,21797,447,24471,24562,21797,21797,447
EUR,2019-01-26T00:00:00Z,2730,2778,15408,451,18138,18186,15408,15408,451
EUR,2019-01-27T00:00:00Z,2768,2796,18423,492,21191,21219,18423,18423,492
EUR,2019-01-28T00:00:00Z,2648,2521,20819,430,23467,23340,20819,20819,430
EUR,2019-01-29T00:00:00Z,2479,2463,19492,455,21971,21955,19492,19492,455
EUR,2019-01-30T00:00:00Z,2476,2496,19945,483,22421,22441,19945,19945,483
EUR,2019-01-31T00:00:00Z,2673,2724,20701,478,23374,23425,20701,20701,478
EUR,2019-02-01T00:00:00Z,3265,3316,22619,1218,25884,25935,22619,22619,427
EUR,2019-02-02T00:00:00Z,2762,2808,15804,433,18566,18612,15804,15804,433
EUR,2019-02-03T00:00:00Z,2797,2764,18128,483,20925,20892,18128,18128,483
EUR,2019-02-04T00:00:00Z,2620,2532,21030,427,23650,23562,21030,21030,427
EUR,2019-02-05T00:00:00Z,2515,2445,19760,452,22275,22205,19760,19760,452
EUR,2019-02-06T00:00:00Z,2494,2504,20644,455,23138,23148,20644,20644,455
EUR,2019-02-07T00:00:00Z,2646,2658,21380,463,24026,24038,21380,21380,463
EUR,2019-02-08T00:00:00Z,2652,2720,22475,457,25127,25195,22475,22475,457
EUR,2019-02-09T00:00:00Z,2719,2760,16289,459,19008,19049,16289,16289,459
EUR,2019-02-10T00:00:00Z,2762,2773,18776,475,21538,21549,18776,18776,475
EUR,2019-02-11T00:00:00Z,2630,2531,21406,442,24036,23937,21406,21406,442
EUR,2019-02-12T00:00:00Z,2494,2497,20243,449,22737,22740,20243,20243,449
EUR,2019-02-13T00:00:00Z,2438,2459,20400,473,22838,22859,20400,20400,473
EUR,2019-02-14T00:00:00Z,2715,2718,21787,476,24502,24505,21787,21787,476
EUR,2019-02-15T00:00:00Z,2744,2760,23358,450,26102,26118,23358,23358,450
EUR,2019-02-16T00:00:00Z,2771,2854,17516,443,20287,20370,17516,17516,443
EUR,2019-02-17T00:00:00Z,2835,2801,19722,507,22557,22523,19722,19722,507
EUR,2019-02-18T00:00:00Z,2657,2597,21626,434,24283,24223,21626,21626,434
EUR,2019-02-19T00:00:00Z,2528,2531,20476,443,23004,23007,20476,20476,443
EUR,2019-02-20T00:00:00Z,2540,2516,20913,441,23453,23429,20913,20913,441
EUR,2019-02-21T00:00:00Z,2703,2754,21926,463,24629,24680,21926,21926,463
EUR,2019-02-22T00:00:00Z,2775,2786,22817,478,25592,25603,22817,22817,478
EUR,2019-02-23T00:00:00Z,2839,2854,17510,441,20349,20364,17510,17510,441
EUR,2019-02-24T00:00:00Z,2918,2908,20061,490,22979,22969,20061,20061,490
EUR,2019-02-25T00:00:00Z,2715,2615,22120,424,24835,24735,22120,22120,424
EUR,2019-02-26T00:00:00Z,2580,2553,20851,448,23431,23404,20851,20851,448
EUR,2019-02-27T00:00:00Z,2628,2599,21451,478,24079,24050,21451,21451,478
EUR,2019-02-28T00:00:00Z,2751,2836,22131,504,24882,24967,22131,22131,504
EUR,2019-03-01T00:00:00Z,3459,3545,23992,1412,27451,27537,23992,23992,478
EUR,2019-03-02T00:00:00Z,2847,2896,17374,495,20221,20270,17374,17374,495
EUR,2019-03-03T00:00:00Z,2938,2892,19530,525,22468,22422,19530,19530,525
EUR,2019-03-04T00:00:00Z,2716,2625,21686,478,24402,24311,21686,21686,478
EUR,2019-03-05T00:00:00Z,2609,2598,20931,508,23540,23529,20931,20931,508
EUR,2019-03-06T00:00:00Z,2661,2674,21637,497,24298,24311,21637,21637,497
EUR,2019-03-07T00:00:00Z,2817,2849,22072,501,24889,24921,22072,22072,501
EUR,2019-03-08T00:00:00Z,2800,2811,23243,479,26043,26054,23243,23243,479
EUR,2019-03-09T00:00:00Z,2870,2946,17010,488,19880,19956,17010,17010,488
EUR,2019-03-10T00:00:00Z,2964,2976,19395,542,22359,22371,19395,19395,542
EUR,2019-03-11T00:00:00Z,2776,2708,22365,476,25141,25073,22365,22365,476
EUR,2019-03-12T00:00:00Z,2645,2628,21147,507,23792,23775,21147,21147,507
EUR,2019-03-13T00:00:00Z,2644,2676,21224,525,23868,23900,21224,21224,525
EUR,2019-03-14T00:00:00Z,2790,2801,22171,527,24961,24972,22171,22171,527
EUR,2019-03-15T00:00:00Z,2825,2854,23487,513,26312,26341,23487,23487,513
EUR,2019-03-16T00:00:00Z,2912,2927,17110,522,20022,20037,17110,17110,522
EUR,2019-03-17T00:00:00Z,2954,2951,19665,550,22619,22616,19665,19665,550
EUR,2019-03-18T00:00:00Z,2754,2705,22594,509,25348,25299,22594,22594,509
EUR,2019-03-19T00:00:00Z,2612,2658,21142,500,23754,23800,21142,21142,500
EUR,2019-03-20T00:00:00Z,2707,2708,22064,550,24771,24772,22064,22064,550
EUR,2019-03-21T00:00:00Z,2872,2837,22596,529,25468,25433,22596,22596,529
EUR,2019-03-22T00:00:00Z,2882,2918,23759,525,26641,26677,23759,23759,525
EUR,2019-03-23T00:00:00Z,2895,2944,17120,509,20015,20064,17120,17120,509
EUR,2019-03-24T00:00:00Z,2941,2958,20014,530,22955,22972,20014,20014,530
EUR,2019-03-25T00:00:00Z,2777,2703,22224,502,25001,24927,22224,22224,502
